DATE, COMPANY, CHANGE
02DEC2024, Dadex Eternit, 0.000
02DEC2024, Dawood Hercules, 4.520
02DEC2024, Dadabhoy Cement, 0.190
02DEC2024, Dewan Cement, 0.390
02DEC2024, Dewan Cement, 0.430
02DEC2024, Dewan Cement, 0.400
02DEC2024, Dewan Cement, 0.390
02DEC2024, Dolmen City, 0.960
02DEC2024, Dolmen City, 0.950
02DEC2024, Dolmen City, 0.990
02DEC2024, Dolmen City, 0.960
02DEC2024, Dawood Equities, 1.000
02DEC2024, Dewan Motors, 1.100
02DEC2024, Dewan Motors, 0.990
02DEC2024, Dewan Motors, 1.130
02DEC2024, Dewan Motors, 1.080
02DEC2024, Dewan Farooque Sp., 0.060
02DEC2024, D.G.K.Cement, 3.860
02DEC2024, D.G.K.Cement, 3.660
02DEC2024, D.G.K.Cement, 4.000
02DEC2024, D.G.K.Cement, 3.860
02DEC2024, Diamond Ind., 0.000
02DEC2024, Din Textile, 0.000
02DEC2024, Dawood Law, 1.190
02DEC2024, Dandot Cement, 0.590
02DEC2024, Descon Oxychem, 0.120
02DEC2024, D.S. Ind. Ltd., 0.190
02DEC2024, Dost Steels Ltd., 0.160
02DEC2024, Dar-es-Salaam, 0.000
02DEC2024, Dewan Auto Engg, 0.770
02DEC2024, Dewan Sugar, 0.740
02DEC2024, Dewan Textile, 0.260
02DEC2024, Dynea Pakistan, 20.590
02DEC2024, ECOPACK Ltd, 2.170
02DEC2024, Engro Fertertilizers, 1.400
02DEC2024, Engro Fertertilizers, 0.950
02DEC2024, Engro Fertertilizers, 1.360
02DEC2024, Engro Fertertilizers, 1.160
02DEC2024, EFU General, 2.360
02DEC2024, EFU Life Assurance, 0.040
02DEC2024, Elahi Cotton, -1.780
02DEC2024, Ellcot Spinning, 1.000
02DEC2024, EMCO Industries, 0.000
02DEC2024, Engro Corporation, 22.210
02DEC2024, Engro Corporation, 23.040
02DEC2024, Engro Corporation, 23.050
02DEC2024, Engro Corporation, 22.430
02DEC2024, Engro Polymer, 0.650
02DEC2024, Engro Polymer, 0.620
02DEC2024, Engro Polymer, 0.670
02DEC2024, Engro Polymer, 0.620
02DEC2024, Engro Poly (Pref), -0.270
02DEC2024, Engro Powergen, 0.250
02DEC2024, Escorts Bank, 1.000
02DEC2024, East West Ins.XR, 0.470
02DEC2024, Exide (PAK), 4.120
02DEC2024, Faysal Bank, 0.690
02DEC2024, Faysal Bank, 0.950
02DEC2024, Faysal Bank, 0.700
02DEC2024, Faysal Bank, 0.640
02DEC2024, AL-Noor Mod, 0.100
02DEC2024, Fatima Fert, 0.890
02DEC2024, Fatima Fert, 0.530
02DEC2024, Fatima Fert, 0.900
02DEC2024, Fatima Fert, 0.820
02DEC2024, Fauji Cement, 3.390
02DEC2024, Fauji Cement, 3.460
02DEC2024, Fauji Cement, 3.530
02DEC2024, Fauji Cement, 3.450
02DEC2024, Frieslandcampina, 1.380
02DEC2024, Frieslandcampina, 1.480
02DEC2024, Frieslandcampina, 1.400
02DEC2024, Frieslandcampina, 1.310
02DEC2024, F.Credit & Inv, 0.190
02DEC2024, Fast Cables Ltd., 0.250
02DEC2024, Ist.Capital Sec, 0.210
02DEC2024, First Dawood Prop, 0.150
02DEC2024, Elite Cap.Mod, 0.720
02DEC2024, Fecto Cement, 7.780
02DEC2024, Equity Modaraba, 0.100
02DEC2024, Ferozsons (Lab), 5.420
02DEC2024, Ferozsons (Lab), 11.100
02DEC2024, Ferozsons (Lab), 5.480
02DEC2024, Ferozsons (Lab), 5.090
02DEC2024, Fauji Fert Bin, 1.230
02DEC2024, Fauji Fert Bin, 1.650
02DEC2024, Fauji Fert Bin, 1.240
02DEC2024, Fauji Fert Bin, 1.160
02DEC2024, Fauji Fert, 7.600
02DEC2024, Fauji Fert, 7.190
02DEC2024, Fauji Fert, 7.770
02DEC2024, Fauji Fert, 7.380
02DEC2024, Fauji Foods Ltd, 0.960
02DEC2024, Fauji Foods Ltd, 0.940
02DEC2024, Fauji Foods Ltd, 1.000
02DEC2024, Fauji Foods Ltd, 0.970
02DEC2024, Habib Modaraba, 0.440
02DEC2024, I.B.L.Modarab, 0.130
02DEC2024, Fateh Industries, 0.000
02DEC2024, Flying Cement, 2.600
02DEC2024, Flying Cement, 2.640
02DEC2024, Flying Cement, 2.700
02DEC2024, Flying Cement, 2.650
02DEC2024, Feroze 1888, -0.730
02DEC2024, F. Nat.Equities, 0.150
02DEC2024, Punjab Mod, 0.660
02DEC2024, Paramount Mod, -0.090
02DEC2024, Frontier Ceram, 0.140
02DEC2024, Faran Sugar-XR, 0.100
02DEC2024, F.Treet Manuf, 0.120
02DEC2024, Tri-Star 1st Mod., -0.010
02DEC2024, Fazal Cloth, 2.000
02DEC2024, Gadoon Textile, 7.430
02DEC2024, Ghandhara Automobile, 6.590
02DEC2024, Ghandhara Automobile, 6.300
02DEC2024, Ghandhara Automobile, 6.760
02DEC2024, Ghandhara Automobile, 6.450
02DEC2024, Gammon Pak, -2.640
02DEC2024, Gatron Ind., 0.980
02DEC2024, Gul Ahmed, 1.800
02DEC2024, Gul Ahmed, 1.920
02DEC2024, Gul Ahmed, 1.880
02DEC2024, Gul Ahmed, 1.830
02DEC2024, Ghani Chemical, 0.000
02DEC2024, Burj Clean Energy, -0.300
02DEC2024, Blue-Ex, 0.000
02DEC2024, Pak Agro Pack, 0.250
02DEC2024, Supernet Ltd.XB, -0.690
02DEC2024, Ghazi Fabrics, -0.250
02DEC2024, GhaniGlobalGlass, 0.210
02DEC2024, Ghani Glo Hol, 0.340
02DEC2024, Ghani Glo Hol, 0.350
02DEC2024, Ghani Glo Hol, 0.350
02DEC2024, Ghani Glo Hol, 0.330
02DEC2024, Ghani Glass Ltd, 0.200
02DEC2024, Ghani Glass Ltd, 0.180
02DEC2024, Ghani Glass Ltd, 0.190
02DEC2024, Ghani Glass Ltd, 0.170
02DEC2024, Ghandhara Ind., 7.330
02DEC2024, Ghandhara Ind., 7.590
02DEC2024, Ghandhara Ind., 7.460
02DEC2024, Ghandhara Ind., 7.000
02DEC2024, GlaxoSmithKline, 8.870
02DEC2024, Gillette Pak, -0.120
02DEC2024, GOC (Pak) Ltd., 3.690
02DEC2024, Globe Residency, -0.110
02DEC2024, Grays Leasing, 0.480
02DEC2024, Gulshan Sp., -0.050
02DEC2024, Ghandhara Tyre, 0.680
02DEC2024, Gulistan Sp., 0.860
02DEC2024, Ghani Value Glass, 0.590
02DEC2024, Gharibwal Cement, 1.670
02DEC2024, Habib Sugar, 0.580
02DEC2024, Hala Enterprise, -0.160
02DEC2024, Hafiz Limited, 25.800
02DEC2024, Haleon Pakistan, -17.340
02DEC2024, Hascol Petrol, 1.230
02DEC2024, Habib Bank, 1.440
02DEC2024, Habib Bank, 1.450
02DEC2024, Habib Bank, 1.420
02DEC2024, Habib Bank, 4.630
02DEC2024, HBL Total Treasury, 0.850
02DEC2024, Honda Atlas Cars, 4.640
02DEC2024, Hallmark Company Ltd, -7.030
02DEC2024, HBL Growth Fund, 0.230
02DEC2024, Habib Ins., 0.130
02DEC2024, HBL Invest Fund, -0.020
02DEC2024, Hinopak Motor, -0.450
02DEC2024, Highnoon (Lab), 2.310
02DEC2024, Hira Textile, 0.100
02DEC2024, Habib Metropolitan, 2.490
02DEC2024, Hoechst Pak Ltd, 54.010
02DEC2024, Habib Rice Prod, 0.250
02DEC2024, HI-Tech Lub., 4.660
02DEC2024, Hub Power Co., 0.590
02DEC2024, Hub Power Co., 0.070
02DEC2024, Hub Power Co., 0.560
02DEC2024, Hub Power Co., 0.450
02DEC2024, Hum Network, 0.400
02DEC2024, Hum Network, 0.450
02DEC2024, Hum Network, 0.410
02DEC2024, Hum Network, 0.390
02DEC2024, Hussain Industries, -0.750
02DEC2024, Haseeb Waqas Sugar, 1.320
02DEC2024, Ibrahim Fibres, 3.590
02DEC2024, IBL HealthCare, 1.300
02DEC2024, ICC Industries, 1.000
02DEC2024, Invest Bank, 0.070
02DEC2024, Ittehad Chemicals, 6.580
02DEC2024, Indus Dyeing, 10.250
02DEC2024, IGI Holdings, 1.070
02DEC2024, IGI Life Ins, 0.630
02DEC2024, Interloop Ltd., 3.290
02DEC2024, Interloop Ltd., 3.650
02DEC2024, Interloop Ltd., 3.410
02DEC2024, Interloop Ltd., 3.300
02DEC2024, Image Pakistan, 0.820
02DEC2024, Imperial Limite, 0.440
02DEC2024, Intermarket Sec., -4.070
02DEC2024, Indus Motor Company, 26.350
02DEC2024, Int. Ind.Ltd., 6.290
02DEC2024, Int. Ind.Ltd., 5.990
02DEC2024, Int. Ind.Ltd., 6.500
02DEC2024, Int. Ind.Ltd., 6.280
02DEC2024, Int.Knitwear, 1.140
02DEC2024, Int. Packaging Films, 0.640
02DEC2024, Ismail Ind-, -38.280
02DEC2024, Inter.Steel Ltd, 3.810
02DEC2024, Inter.Steel Ltd, 2.930
02DEC2024, Inter.Steel Ltd, 3.950
02DEC2024, Inter.Steel Ltd, 3.820
02DEC2024, Ittefaq Iron Ind, 0.230
02DEC2024, Janana D Mal, -1.330
02DEC2024, J.D.W.Sugar, 33.570
02DEC2024, Jubilee Gen.Ins, 1.920
02DEC2024, J.K.Spinning, 0.000
02DEC2024, Jubile Life Ins, 4.760
02DEC2024, JS Bank Ltd, -0.120
02DEC2024, JS Bank Ltd, -0.200
02DEC2024, JS Bank Ltd, -0.130
02DEC2024, JS Bank Ltd, -0.130
02DEC2024, Jah.Sidd. Co., 0.840
02DEC2024, JahangirSidd(Pref), -0.030
02DEC2024, JS Global Banking, 0.300
02DEC2024, JS Global Banking, 0.290
